New test done with time limit: 900s
Bit length: 23 	 Run time: 0.6559144547209144
Bit length: 24 	 Run time: 1.6721165189519525

New test done with time limit: 1s
Bit length: 16 	 Run time: 0.005567618180066347
Bit length: 17 	 Run time: 0.012024898082017899
Bit length: 18 	 Run time: 0.02068833215162158
Bit length: 19 	 Run time: 0.05712777795270085
Bit length: 20 	 Run time: 0.11043800786137581
Bit length: 21 	 Run time: 0.23841407522559166
Bit length: 22 	 Run time: 0.42326188227161765
Bit length: 23 	 Run time: 0.7367225289344788
Bit length: 24 	 Run time: 1.693676054943353

New test done with time limit: 1s
Bit length: 16 	 Run time: 0.006154726259410381
Bit length: 17 	 Run time: 0.019220481161028147
Bit length: 18 	 Run time: 0.027485453989356756
Bit length: 19 	 Run time: 0.04224121570587158
Bit length: 20 	 Run time: 0.1410782439634204
Bit length: 21 	 Run time: 0.1533232838846743
Bit length: 22 	 Run time: 0.40375103196129203
Bit length: 23 	 Run time: 0.831802801694721
Bit length: 24 	 Run time: 2.063792406115681

New test done with time limit: 1s
Bit length: 16 	 Run time: 0.0056290291249752045
Bit length: 17 	 Run time: 0.01236592885106802
Bit length: 18 	 Run time: 0.01916115079075098
Bit length: 19 	 Run time: 0.04067134065553546
Bit length: 20 	 Run time: 0.09591089794412255
Bit length: 21 	 Run time: 0.1660432480275631
Bit length: 22 	 Run time: 0.3159997509792447
Bit length: 23 	 Run time: 1.068440644070506

New test done with time limit: 1s
Bit length: 16 	 Run time: 0.006703851744532585
Bit length: 17 	 Run time: 0.013194568920880556
Bit length: 18 	 Run time: 0.0281377830542624
Bit length: 19 	 Run time: 0.05112950364127755
Bit length: 20 	 Run time: 0.08263162802904844
Bit length: 21 	 Run time: 0.25750428391620517
Bit length: 22 	 Run time: 0.4384899507276714
Bit length: 23 	 Run time: 0.7316642832010984
Bit length: 24 	 Run time: 1.9930883930064738

