New test done with time limit: 900s
Bit length: 39 	 Run time: 8.36968447221443
Bit length: 40 	 Run time: 14.12135973572731
Bit length: 41 	 Run time: 39.118466021027416
Bit length: 42 	 Run time: 36.9992034798488
Bit length: 43 	 Run time: 39.39188842708245
Bit length: 44 	 Run time: 25.714126543607563
Bit length: 45 	 Run time: 89.58931131614372
Bit length: 46 	 Run time: 29.762254192028195
Bit length: 47 	 Run time: 47.869403114076704
Bit length: 48 	 Run time: 247.4666625750251
Bit length: 49 	 Run time: 288.5439616693184
Bit length: 50 	 Run time: 326.17467114795
Bit length: 51 	 Run time: 573.3807101403363
Bit length: 52 	 Run time: 1470.8201405392028

New test done with time limit: 900s
Bit length: 16 	 Run time: 0.0005597611889243126
Bit length: 17 	 Run time: 0.0028946339152753353
Bit length: 18 	 Run time: 0.0014654411934316158
Bit length: 19 	 Run time: 0.004529186058789492
Bit length: 20 	 Run time: 0.01076048705726862
Bit length: 21 	 Run time: 0.017533408012241125
Bit length: 22 	 Run time: 0.0027892859652638435
Bit length: 23 	 Run time: 0.03942755330353975
Bit length: 24 	 Run time: 0.053233626298606396
Bit length: 25 	 Run time: 0.07242334494367242
Bit length: 26 	 Run time: 0.05134900286793709
Bit length: 27 	 Run time: 0.07784500671550632
Bit length: 28 	 Run time: 0.01253009494394064
Bit length: 29 	 Run time: 0.31898553436622024
Bit length: 30 	 Run time: 0.1552240257151425
Bit length: 31 	 Run time: 0.45862659998238087
Bit length: 32 	 Run time: 0.21920320810750127
Bit length: 33 	 Run time: 0.591530276928097
Bit length: 34 	 Run time: 1.5455526178702712
Bit length: 35 	 Run time: 0.6289904150180519
Bit length: 36 	 Run time: 3.522894016932696
Bit length: 37 	 Run time: 6.590112119913101
Bit length: 38 	 Run time: 6.501072413288057
Bit length: 39 	 Run time: 7.392939526587725
Bit length: 40 	 Run time: 14.328279966954142
Bit length: 41 	 Run time: 2.8368509733118117
Bit length: 42 	 Run time: 40.974002993199974
Bit length: 43 	 Run time: 17.423591603990644
Bit length: 44 	 Run time: 45.196204784326255
Bit length: 45 	 Run time: 37.43631652928889
Bit length: 46 	 Run time: 24.12849993724376
Bit length: 47 	 Run time: 124.92709865793586
Bit length: 48 	 Run time: 543.170277744066
Bit length: 49 	 Run time: 340.6985878790729
Bit length: 50 	 Run time: 617.5874002110213
Bit length: 51 	 Run time: 1219.6444826321676

New test done with time limit: 900s
Bit length: 16 	 Run time: 0.001174982637166977
Bit length: 17 	 Run time: 0.0013553779572248459
Bit length: 18 	 Run time: 0.0026312200352549553
Bit length: 19 	 Run time: 0.006919907871633768
Bit length: 20 	 Run time: 0.006956967059522867
Bit length: 21 	 Run time: 0.006319431122392416
Bit length: 22 	 Run time: 0.025307014118880033
Bit length: 23 	 Run time: 0.003622608259320259
Bit length: 24 	 Run time: 0.024836583994328976
Bit length: 25 	 Run time: 0.03396786283701658
Bit length: 26 	 Run time: 0.09245239710435271
Bit length: 27 	 Run time: 0.2515406827442348
Bit length: 28 	 Run time: 0.03808923903852701
Bit length: 29 	 Run time: 0.10817773593589664
Bit length: 30 	 Run time: 0.19011370744556189
Bit length: 31 	 Run time: 0.08508405787870288
Bit length: 32 	 Run time: 0.46650362480431795
Bit length: 33 	 Run time: 0.12285636179149151
Bit length: 34 	 Run time: 1.6093713771551847
Bit length: 35 	 Run time: 0.9001657459884882
Bit length: 36 	 Run time: 4.364500048104674
Bit length: 37 	 Run time: 5.143702918663621
Bit length: 38 	 Run time: 7.108746417798102
Bit length: 39 	 Run time: 12.168124158401042
Bit length: 40 	 Run time: 10.766499793156981
Bit length: 41 	 Run time: 21.643494884017855
Bit length: 42 	 Run time: 29.591502650640905
Bit length: 43 	 Run time: 34.25270153209567
Bit length: 44 	 Run time: 81.95350143080577
Bit length: 45 	 Run time: 49.22412343043834
Bit length: 46 	 Run time: 103.72247536014766
Bit length: 47 	 Run time: 294.94499718397856
Bit length: 48 	 Run time: 208.9474252848886
Bit length: 49 	 Run time: 155.55316404998302
Bit length: 50 	 Run time: 93.04753092490137
Bit length: 51 	 Run time: 1447.902735156007

New test done with time limit: 900s
